M,N,K,t_measured_ms
8,256,2048,0.07499405182898045
8,256,4096,0.1015830785036087
8,256,8192,0.14546513557434082
8,512,256,0.07676263339817524
8,512,512,0.07771886885166168
8,512,1024,0.0774133950471878
8,512,2048,0.08381041698157787
8,512,4096,0.11242344044148922
8,512,8192,0.15993136912584305
8,1024,256,0.075129559263587
8,1024,512,0.0745879951864481
8,1024,1024,0.08321437053382397
8,1024,2048,0.0849524512887001
8,1024,4096,0.11122156865894794
8,1024,8192,0.1659130211919546
8,2048,256,0.0718084629625082
8,2048,512,0.09564682841300964
8,2048,1024,0.07322547025978565
8,2048,2048,0.09244144894182682
8,2048,4096,0.12678047642111778
8,2048,8192,0.19608833827078342
8,4096,256,0.07177842780947685
8,4096,512,0.0697295181453228
8,4096,1024,0.09738118387758732
8,4096,2048,0.1240856945514679
8,4096,4096,0.15776767395436764
8,4096,8192,0.23170514032244682
8,8192,256,0.11846446432173252
8,8192,512,0.11263391934335232
8,8192,1024,0.1219557598233223
8,8192,2048,0.14458829537034035
8,8192,4096,0.21755904890596867
8,8192,8192,0.4104610998183489
16,256,256,0.09865313768386841
16,256,512,0.10793493129312992
16,256,1024,0.09626406244933605
16,256,2048,0.13662339188158512
16,256,4096,0.13119331561028957
16,256,8192,0.17215940169990063
16,512,256,0.13933866284787655
16,512,512,0.10569067671895027
16,512,1024,0.11657667346298695
16,512,2048,0.13712933287024498
16,512,4096,0.141792930662632
16,512,8192,0.18735253252089024
16,1024,256,0.10183337144553661
16,1024,512,0.12436043471097946
16,1024,1024,0.1318845897912979
16,1024,2048,0.1292000524699688
16,1024,4096,0.13659312389791012
16,1024,8192,0.20065181888639927
16,2048,256,0.13084756210446358
16,2048,512,0.13310182839632034
16,2048,1024,0.13615749776363373
16,2048,2048,0.13650301843881607
16,2048,4096,0.1504488755017519
16,2048,8192,0.21969247609376907
16,4096,256,0.12563285417854786
16,4096,512,0.1246812753379345
16,4096,1024,0.12333854101598263
16,4096,2048,0.11481740511953831
16,4096,4096,0.1404907088726759
16,4096,8192,0.2123541198670864
16,8192,256,0.08179666474461555
16,8192,512,0.08903536945581436
16,8192,1024,0.09883800521492958
16,8192,2048,0.18667150288820267
16,8192,4096,0.2410118468105793
16,8192,8192,0.3867426421493292
32,256,256,0.11025415733456612
32,256,512,0.10358146391808987
32,256,1024,0.14246441423892975
32,256,2048,0.1318093854933977
32,256,4096,0.11395127512514591
32,256,8192,0.15573878772556782
32,512,256,0.0810655765235424
32,512,512,0.08044973947107792
32,512,1024,0.11089560575783253
32,512,2048,0.11575431562960148
32,512,4096,0.11459272354841232
32,512,8192,0.16879243776202202
32,1024,256,0.10231975466012955
32,1024,512,0.10833633132278919
32,1024,1024,0.1071335282176733
32,1024,2048,0.09675463661551476
32,1024,4096,0.11450261808931828
32,1024,8192,0.16604270786046982
32,2048,256,0.06583193317055702
32,2048,512,0.06880774162709713
32,2048,1024,0.07344642654061317
32,2048,2048,0.09561190381646156
32,2048,4096,0.12746662832796574
