bs,seq,nh,nkv,hd,t_measured_ms
1,64,4,1,64,-1.0
1,64,4,1,128,-1.0
1,64,4,2,64,-1.0
1,64,4,2,128,-1.0
1,64,4,4,64,-1.0
1,64,4,4,128,-1.0
1,64,8,1,64,-1.0
1,64,8,1,128,-1.0
1,64,8,2,64,-1.0
1,64,8,2,128,-1.0
1,64,8,4,64,-1.0
1,64,8,4,128,-1.0
1,64,16,1,64,-1.0
1,64,16,1,128,-1.0
1,64,16,2,64,-1.0
1,64,16,2,128,-1.0
1,64,16,4,64,-1.0
1,64,16,4,128,-1.0
1,64,32,1,64,-1.0
1,64,32,1,128,-1.0
1,64,32,2,64,-1.0
1,64,32,2,128,-1.0
1,64,32,4,64,-1.0
1,64,32,4,128,-1.0
1,128,4,1,64,-1.0
1,128,4,1,128,-1.0
1,128,4,2,64,-1.0
1,128,4,2,128,-1.0
1,128,4,4,64,-1.0
1,128,4,4,128,-1.0
1,128,8,1,64,-1.0
1,128,8,1,128,-1.0
1,128,8,2,64,-1.0
1,128,8,2,128,-1.0
1,128,8,4,64,-1.0
1,128,8,4,128,-1.0
1,128,16,1,64,-1.0
1,128,16,1,128,-1.0
1,128,16,2,64,-1.0
1,128,16,2,128,-1.0
1,128,16,4,64,-1.0
1,128,16,4,128,-1.0
1,128,32,1,64,-1.0
1,128,32,1,128,-1.0
1,128,32,2,64,-1.0
1,128,32,2,128,-1.0
1,128,32,4,64,-1.0
1,128,32,4,128,-1.0
1,256,4,1,64,-1.0
1,256,4,1,128,-1.0
1,256,4,2,64,-1.0
1,256,4,2,128,-1.0
1,256,4,4,64,-1.0
1,256,4,4,128,-1.0
1,256,8,1,64,-1.0
1,256,8,1,128,-1.0
1,256,8,2,64,-1.0
1,256,8,2,128,-1.0
1,256,8,4,64,-1.0
1,256,8,4,128,-1.0
1,256,16,1,64,-1.0
1,256,16,1,128,-1.0
1,256,16,2,64,-1.0
1,256,16,2,128,-1.0
1,256,16,4,64,-1.0
1,256,16,4,128,-1.0
1,256,32,1,64,-1.0
1,256,32,1,128,-1.0
1,256,32,2,64,-1.0
1,256,32,2,128,-1.0
1,256,32,4,64,-1.0
1,256,32,4,128,-1.0
1,512,4,1,64,-1.0
1,512,4,1,128,-1.0
1,512,4,2,64,-1.0
1,512,4,2,128,-1.0
1,512,4,4,64,-1.0
1,512,4,4,128,-1.0
1,512,8,1,64,-1.0
1,512,8,1,128,-1.0
1,512,8,2,64,-1.0
1,512,8,2,128,-1.0
1,512,8,4,64,-1.0
1,512,8,4,128,-1.0
1,512,16,1,64,-1.0
1,512,16,1,128,-1.0
1,512,16,2,64,-1.0
1,512,16,2,128,-1.0
1,512,16,4,64,-1.0
1,512,16,4,128,-1.0
1,512,32,1,64,-1.0
1,512,32,1,128,-1.0
1,512,32,2,64,-1.0
1,512,32,2,128,-1.0
1,512,32,4,64,-1.0
1,512,32,4,128,-1.0
1,1024,4,1,64,-1.0
1,1024,4,1,128,-1.0
1,1024,4,2,64,-1.0
1,1024,4,2,128,-1.0
1,1024,4,4,64,-1.0
1,1024,4,4,128,-1.0
1,1024,8,1,64,-1.0
1,1024,8,1,128,-1.0
1,1024,8,2,64,-1.0
1,1024,8,2,128,-1.0
1,1024,8,4,64,-1.0
1,1024,8,4,128,-1.0
1,1024,16,1,64,-1.0
1,1024,16,1,128,-1.0
1,1024,16,2,64,-1.0
1,1024,16,2,128,-1.0
1,1024,16,4,64,-1.0
1,1024,16,4,128,-1.0
1,1024,32,1,64,-1.0
1,1024,32,1,128,-1.0
1,1024,32,2,64,-1.0
1,1024,32,2,128,-1.0
1,1024,32,4,64,-1.0
1,1024,32,4,128,-1.0
1,2048,4,1,64,-1.0
1,2048,4,1,128,-1.0
1,2048,4,2,64,-1.0
1,2048,4,2,128,-1.0
1,2048,4,4,64,-1.0
1,2048,4,4,128,-1.0
1,2048,8,1,64,-1.0
1,2048,8,1,128,-1.0
1,2048,8,2,64,-1.0
1,2048,8,2,128,-1.0
1,2048,8,4,64,-1.0
1,2048,8,4,128,-1.0
1,2048,16,1,64,-1.0
1,2048,16,1,128,-1.0
1,2048,16,2,64,-1.0
1,2048,16,2,128,-1.0
1,2048,16,4,64,-1.0
1,2048,16,4,128,-1.0
1,2048,32,1,64,-1.0
1,2048,32,1,128,-1.0
1,2048,32,2,64,-1.0
1,2048,32,2,128,-1.0
1,2048,32,4,64,-1.0
1,2048,32,4,128,-1.0
1,3358,4,1,64,-1.0
1,3358,4,1,128,-1.0
1,3358,4,2,64,-1.0
1,3358,4,2,128,-1.0
1,3358,4,4,64,-1.0
1,3358,4,4,128,-1.0
1,3358,8,1,64,-1.0
1,3358,8,1,128,-1.0
1,3358,8,2,64,-1.0
1,3358,8,2,128,-1.0
1,3358,8,4,64,-1.0
1,3358,8,4,128,-1.0
1,3358,16,1,64,-1.0
1,3358,16,1,128,-1.0
1,3358,16,2,64,-1.0
1,3358,16,2,128,-1.0
1,3358,16,4,64,-1.0
1,3358,16,4,128,-1.0
1,3358,32,1,64,-1.0
1,3358,32,1,128,-1.0
1,3358,32,2,64,-1.0
1,3358,32,2,128,-1.0
1,3358,32,4,64,-1.0
1,3358,32,4,128,-1.0
1,4096,4,1,64,-1.0
1,4096,4,1,128,-1.0
1,4096,4,2,64,-1.0
1,4096,4,2,128,-1.0
1,4096,4,4,64,-1.0
1,4096,4,4,128,-1.0
1,4096,8,1,64,-1.0
1,4096,8,1,128,-1.0
1,4096,8,2,64,-1.0
1,4096,8,2,128,-1.0
1,4096,8,4,64,-1.0
1,4096,8,4,128,-1.0
1,4096,16,1,64,-1.0
1,4096,16,1,128,-1.0
