M,N,K,t_measured_ms
2,256,256,0.014592078514397144
2,256,512,0.015333062037825584
2,256,1024,0.01526298001408577
2,256,2048,0.015362980775535107
2,256,2885,0.018366961739957333
2,256,4096,0.015272991731762886
2,256,6227,0.019408995285630226
2,256,8192,0.01689500641077757
2,256,12632,0.016293954104185104
2,256,13940,0.018368009477853775
2,256,15254,0.020370003767311573
2,256,16384,0.01736590638756752
2,512,256,0.014592078514397144
2,512,512,0.01627509482204914
2,512,1024,0.01629407051950693
2,512,2048,0.0162740470841527
2,512,2885,0.01935800537467003
2,512,4096,0.017316080629825592
2,512,6227,0.022423919290304184
2,512,8192,0.01730595249682665
2,512,12632,0.017366022802889347
2,512,13940,0.021392013877630234
2,512,15254,0.0214320607483387
2,512,16384,0.01923798117786646
2,1024,256,0.01444108784198761
2,1024,512,0.016304082237184048
2,1024,1024,0.015111989341676235
2,1024,2048,0.016313977539539337
2,1024,2885,0.01935905311256647
2,1024,4096,0.01730595249682665
2,1024,6227,0.02758100163191557
2,1024,8192,0.019358936697244644
2,1024,12632,0.021441024728119373
2,1024,13940,0.025518005713820457
2,1024,15254,0.025518005713820457
2,1024,16384,0.023465021513402462
2,2048,256,0.014601042494177818
2,2048,512,0.014171004295349121
2,2048,1024,0.015322002582252026
2,2048,2048,0.01631502527743578
2,2048,2885,0.024515902623534203
2,2048,4096,0.018357066437602043
2,2048,6227,0.030605006031692028
2,2048,8192,0.02347491681575775
2,2048,12632,0.026538968086242676
2,2048,13940,0.031667063012719154
2,2048,15254,0.03316998481750488
2,2048,16384,0.028611975722014904
2,2127,256,0.011647003702819347
2,2127,512,0.015223049558699131
2,2127,1024,0.01835799776017666
2,2127,2048,0.020381063222885132
2,2127,2885,0.0224430114030838
2,2127,4096,0.024487031623721123
2,2127,6227,0.02862198743969202
2,2127,8192,0.03474100958555937
2,2127,12632,0.03984896466135979
2,2127,13940,0.039849081076681614
2,2127,15254,0.04191300831735134
2,2127,16384,0.04396506119519472
2,4096,256,0.013590091839432716
2,4096,512,0.014491030015051365
2,4096,1024,0.01591397449374199
2,4096,2048,0.018968014046549797
2,4096,2885,0.02550799399614334
2,4096,4096,0.02245290670543909
2,4096,6227,0.035773031413555145
2,4096,8192,0.028622103855013847
2,4096,12632,0.03677397035062313
2,4096,13940,0.047980924136936665
2,4096,15254,0.050233909860253334
2,4096,16384,0.04500697832554579
2,5268,256,0.013620010577142239
2,5268,512,0.01526298001408577
2,5268,1024,0.018296996131539345
2,5268,2048,0.022282940335571766
2,5268,2885,0.029733986593782902
2,5268,4096,0.02652895636856556
2,5268,6227,0.04394503775984049
2,5268,8192,0.03613403532654047
2,5268,12632,0.0460080336779356
2,5268,13940,0.10845100041478872
2,5268,15254,0.12233201414346695
2,5268,16384,0.13089494314044714
2,8192,256,0.014491030015051365
2,8192,512,0.015452969819307327
2,8192,1024,0.017786049284040928
2,8192,2048,0.022292952053248882
2,8192,2885,0.03575300797820091
2,8192,4096,0.03267894499003887
2,8192,6227,0.06485695485025644
2,8192,8192,0.04704005550593138
2,8192,12632,0.1523259561508894
2,8192,13940,0.1683199079707265
2,8192,15254,0.182120013050735
2,8192,16384,0.1934370957314968
2,9372,256,0.013790908269584179
2,9372,512,0.01621397677809
2,9372,1024,0.019878963939845562
2,9372,2048,0.026488909497857094
2,9372,2885,0.03985001239925623
2,9372,4096,0.03270793240517378
2,9372,6227,0.062373001128435135
2,9372,8192,0.11504103895276785
2,9372,12632,0.17309701070189476
2,9372,13940,0.18921098671853542
2,9372,15254,0.20501494873315096
2,9372,16384,0.21911505609750748
2,13896,256,0.01559301745146513
2,13896,512,0.017076032236218452
2,13896,1024,0.021702959202229977
2,13896,2048,0.029243063181638718
2,13896,2885,0.034360913559794426
2,13896,4096,0.04399497993290424
2,13896,6227,0.13125501573085785
2,13896,8192,0.16306200996041298
2,13896,12632,0.24378206580877304
2,13896,13940,0.2717329189181328
2,13896,15254,0.29561901465058327
2,13896,16384,0.3121430054306984
2,14440,256,0.015272991731762886
2,14440,512,0.016925041563808918
2,14440,1024,0.022031948901712894
2,14440,2048,0.03019510768353939
2,14440,2885,0.03465206827968359
2,14440,4096,0.04802097100764513
2,14440,6227,0.14193099923431873
2,14440,8192,0.16804004553705454
2,14440,12632,0.2519430126994848
2,14440,13940,0.2814279869198799
2,14440,15254,0.3070459933951497
2,14440,16384,0.32285996712744236
2,16384,256,0.014991965144872665
2,16384,512,0.016724923625588417
2,16384,1024,0.020680949091911316
2,16384,2048,0.028422102332115173
2,16384,2885,0.0351219205185771
2,16384,4096,0.04250300116837025
2,16384,6227,0.157273025251925
2,16384,8192,0.18946209456771612
2,16384,12632,0.283260946162045
2,16384,13940,0.319404061883688
2,16384,15254,0.3480969462543726
2,16384,16384,0.3637199988588691
4,256,256,0.01449196133762598
4,256,512,0.01525308471173048
4,256,1024,0.015323050320148468
4,256,2048,0.015332014299929142
4,256,2885,0.01732597593218088
4,256,4096,0.01525308471173048
4,256,6227,0.01931807491928339
4,256,8192,0.017334939911961555
4,256,12632,0.01732597593218088
4,256,13940,0.018356950022280216
4,256,15254,0.020400038920342922
4,256,16384,0.017335056327283382
4,512,256,0.014521065168082714
4,512,512,0.015313038602471352
4,512,1024,0.015122001059353352
4,512,2048,0.01621397677809
4,512,2885,0.019378960132598877
4,512,4096,0.017335987649857998
4,512,6227,0.02146197948604822
4,512,8192,0.016354024410247803
4,512,12632,0.018366961739957333
4,512,13940,0.021412037312984467
4,512,15254,0.021422049030661583
4,512,16384,0.01837697345763445
4,1024,256,0.014371005818247795
4,1024,512,0.013850978575646877
4,1024,1024,0.014952034689486027
4,1024,2048,0.016313977539539337
4,1024,2885,0.019368017092347145
4,1024,4096,0.017325044609606266
4,1024,6227,0.02755096647888422
4,1024,8192,0.018356950022280216
4,1024,12632,0.020419945940375328
4,1024,13940,0.02550799399614334
4,1024,15254,0.0255069462582469
4,1024,16384,0.02347491681575775
4,2048,256,0.013060052879154682
4,2048,512,0.014050980098545551
4,2048,1024,0.015093013644218445
4,2048,2048,0.016304082237184048
4,2048,2885,0.023434986360371113
4,2048,4096,0.018366961739957333
4,2048,6227,0.030625960789620876
4,2048,8192,0.023473985493183136
4,2048,12632,0.02655899152159691
4,2048,13940,0.03267894499003887
4,2048,15254,0.03472203388810158
4,2048,16384,0.028593000024557114
4,2127,256,0.013900920748710632
4,2127,512,0.015313038602471352
4,2127,1024,0.018356950022280216
4,2127,2048,0.020399922505021095
4,2127,2885,0.021421932615339756
4,2127,4096,0.024477019906044006
4,2127,6227,0.030645052902400494
4,2127,8192,0.03474089317023754
4,2127,12632,0.039828941226005554
4,2127,13940,0.04164199344813824
4,2127,15254,0.041921972297132015
4,2127,16384,0.043894979171454906
4,4096,256,0.013591023162007332
4,4096,512,0.014561926946043968
4,4096,1024,0.015984056517481804
4,4096,2048,0.01896789763122797
4,4096,2885,0.02962397411465645
4,4096,4096,0.02232298720628023
4,4096,6227,0.03566197119653225
4,4096,8192,0.028592068701982498
4,4096,12632,0.03669399302452803
4,4096,13940,0.04701002035290003
4,4096,15254,0.05007407162338495
4,4096,16384,0.0470189843326807
4,5268,256,0.013999990187585354
4,5268,512,0.014181016013026237
4,5268,1024,0.01818698365241289
4,5268,2048,0.022453023120760918
4,5268,2885,0.03164703957736492
4,5268,4096,0.026569003239274025
4,5268,6227,0.043985084630548954
4,5268,8192,0.03677397035062313
4,5268,12632,0.0466490164399147
4,5268,13940,0.11046405415982008
4,5268,15254,0.1227229367941618
4,5268,16384,0.12997293379157782
4,8192,256,0.014471006579697132
4,8192,512,0.015322933904826641
4,8192,1024,0.01772597897797823
4,8192,2048,0.022432999685406685
4,8192,2885,0.03576301969587803
4,8192,4096,0.03165705129504204
4,8192,6227,0.05418097134679556
4,8192,8192,0.04700000863522291
4,8192,12632,0.15249697025865316
4,8192,13940,0.16780896112322807
4,8192,15254,0.18193002324551344
4,8192,16384,0.1933869207277894
4,9372,256,0.014661927707493305
4,9372,512,0.016695004887878895
4,9372,1024,0.019758939743041992
4,9372,2048,0.025567947886884212
4,9372,2885,0.0398589763790369
4,9372,4096,0.03264797851443291
4,9372,6227,0.06238301284611225
4,9372,8192,0.11536094825714827
4,9372,12632,0.1732070231810212
4,9372,13940,0.18938106950372458
4,9372,15254,0.2051340416073799
4,9372,16384,0.2192759420722723
4,13896,256,0.015052035450935364
4,13896,512,0.017285929061472416
4,13896,1024,0.021631945855915546
4,13896,2048,0.029633985832333565
4,13896,2885,0.0481409952044487
4,13896,4096,0.043964944779872894
4,13896,6227,0.1313849352300167
4,13896,8192,0.16318191774189472
4,13896,12632,0.24415296502411366
4,13896,13940,0.2717840252444148
4,13896,15254,0.295738922432065
4,13896,16384,0.3122730413451791
4,14440,256,0.015532947145402431
4,14440,512,0.015431898646056652
4,14440,1024,0.02196303103119135
4,14440,2048,0.030225026421248913
4,14440,2885,0.04907301627099514
4,14440,4096,0.04803098272532225
4,14440,6227,0.13512105215340853
4,14440,8192,0.16813899856060743
4,14440,12632,0.25193404871970415
4,14440,13940,0.28157897759228945
4,14440,15254,0.3068760270252824
4,14440,16384,0.3228200366720557
4,16384,256,0.015313038602471352
4,16384,512,0.016665086150169373
4,16384,1024,0.020741019397974014
4,16384,2048,0.02828205469995737
4,16384,2885,0.042041996493935585
4,16384,4096,0.04271301440894604
4,16384,6227,0.15690294094383717
4,16384,8192,0.18949108198285103
4,16384,12632,0.2832410391420126
4,16384,13940,0.3184330416843295
4,16384,15254,0.3484069602563977
4,16384,16384,0.36369997542351484
8,256,256,0.014331890270113945
8,256,512,0.014260993339121342
8,256,1024,0.01497205812484026
8,256,2048,0.016263918951153755
8,256,2885,0.01730595249682665
