M,N,K,t_measured_ms
4,2127,4096,-1.0
4,2127,6227,-1.0
4,2127,8192,-1.0
4,2127,12632,-1.0
4,2127,13940,-1.0
4,2127,15254,-1.0
4,2127,16384,-1.0
4,4096,256,0.016795005649328232
4,4096,512,0.017216079868376255
4,4096,1024,0.017435988411307335
4,4096,2048,0.01883797813206911
4,4096,2885,-1.0
4,4096,4096,0.02393603790551424
4,4096,6227,-1.0
4,4096,8192,0.023775966838002205
4,4096,12632,-1.0
4,4096,13940,-1.0
4,4096,15254,-1.0
4,4096,16384,0.030675088055431843
4,5268,256,-1.0
4,5268,512,-1.0
4,5268,1024,-1.0
4,5268,2048,-1.0
4,5268,2885,-1.0
4,5268,4096,-1.0
4,5268,6227,-1.0
4,5268,8192,-1.0
4,5268,12632,-1.0
4,5268,13940,-1.0
4,5268,15254,-1.0
4,5268,16384,-1.0
4,8192,256,0.017045065760612488
4,8192,512,0.01725496258586645
4,8192,1024,0.01779699232429266
4,8192,2048,0.019779079593718052
4,8192,2885,-1.0
4,8192,4096,0.02430600579828024
4,8192,6227,-1.0
4,8192,8192,0.029413960874080658
4,8192,12632,-1.0
4,8192,13940,-1.0
4,8192,15254,-1.0
4,8192,16384,0.05072506610304117
4,9372,256,-1.0
4,9372,512,-1.0
4,9372,1024,-1.0
4,9372,2048,-1.0
4,9372,2885,-1.0
4,9372,4096,-1.0
4,9372,6227,-1.0
4,9372,8192,-1.0
4,9372,12632,-1.0
4,9372,13940,-1.0
4,9372,15254,-1.0
4,9372,16384,-1.0
4,13896,256,-1.0
4,13896,512,-1.0
4,13896,1024,-1.0
4,13896,2048,-1.0
4,13896,2885,-1.0
4,13896,4096,-1.0
4,13896,6227,-1.0
4,13896,8192,-1.0
4,13896,12632,-1.0
4,13896,13940,-1.0
4,13896,15254,-1.0
4,13896,16384,-1.0
4,14440,256,-1.0
4,14440,512,-1.0
4,14440,1024,-1.0
4,14440,2048,-1.0
4,14440,2885,-1.0
4,14440,4096,-1.0
4,14440,6227,-1.0
4,14440,8192,-1.0
4,14440,12632,-1.0
4,14440,13940,-1.0
4,14440,15254,-1.0
4,14440,16384,-1.0
4,16384,256,0.01768604852259159
4,16384,512,0.018838094547390938
4,16384,1024,0.02022006083279848
4,16384,2048,0.024085980840027332
4,16384,2885,-1.0
4,16384,4096,0.03162701614201069
4,16384,6227,-1.0
4,16384,8192,0.04707009065896273
4,16384,12632,-1.0
4,16384,13940,-1.0
4,16384,15254,-1.0
4,16384,16384,0.20225998014211655
8,256,256,0.016214093193411827
8,256,512,0.016635050997138023
8,256,1024,0.017406069673597813
8,256,2048,0.018758000805974007
8,256,2885,-1.0
8,256,4096,0.021392013877630234
8,256,6227,-1.0
8,256,8192,0.021100975573062897
8,256,12632,-1.0
8,256,13940,-1.0
8,256,15254,-1.0
8,256,16384,0.022153020836412907
8,512,256,0.01634389627724886
8,512,512,0.016693957149982452
8,512,1024,0.01732597593218088
8,512,2048,0.01694506499916315
