bs,seq,nh,nkv,hd,t_measured_ms
1,512,8,1,128,0.07502594962716103
1,512,8,2,128,0.07222499698400497
1,512,16,1,128,0.06868498167023063
1,512,16,2,128,0.06860500434413552
1,1024,8,1,128,0.07245497545227408
1,1024,8,2,128,0.07298600394278765
1,1024,16,1,128,0.07146497955545783
1,1024,16,2,128,0.07185502909123898
1,2048,8,1,128,0.07951603038236499
1,2048,8,2,128,0.08056603837758303
1,2048,16,1,128,0.10675803059712052
1,2048,16,2,128,0.10438804747536778
