seq,dim,t_measured_ms
9032,659,0.014551100321114063
9032,1024,0.016595004126429558
9032,1737,0.0203100498765707
9032,1805,0.020690960809588432
9032,2048,0.02203206531703472
9032,2343,0.023544998839497566
9032,2806,0.025968998670578003
9032,2996,0.026979949325323105
9032,3424,0.029162969440221786
9032,4013,0.08518598042428493
9032,4096,0.08837098721414804
9032,4175,0.09446998592466116
9032,4491,0.09863602463155985
9032,5953,0.15285704284906387
9032,6137,0.15789398457854986
9032,6202,0.15953707043081522
9032,6549,0.16835995484143496
9032,6591,0.16947195399552584
9032,6957,0.1776539720594883
9032,7344,0.18682796508073807
9032,8192,0.20893989130854607
9336,256,0.012086937204003334
9336,266,0.012248056009411812
9336,512,0.0138808973133564
9336,659,0.014740973711013794
9336,1024,0.016805017367005348
9336,1737,0.020671053789556026
9336,1805,0.02107198815792799
9336,2048,0.022253021597862244
9336,2343,0.023845001123845577
9336,2806,0.026599038392305374
9336,2996,0.02755096647888422
9336,3424,0.030175084248185158
9336,4013,0.09051407687366009
9336,4096,0.09679410140961409
9336,4175,0.0927880173549056
9336,4491,0.10353396646678448
9336,5953,0.15776499640196562
9336,6137,0.16336305998265743
9336,6202,0.16470509581267834
9336,6549,0.17403904348611832
9336,6591,0.17508002929389477
9336,6957,0.184294069185853
9336,7344,0.19366794731467962
9336,8192,0.21643098443746567
12660,256,0.012788921594619751
12660,266,0.01293898094445467
12660,512,0.01507194247096777
12660,659,0.016113976016640663
12660,1024,0.018827966414391994
12660,1737,0.023875967599451542
12660,1805,0.024326029233634472
12660,2048,0.02624897751957178
12660,2343,0.028613023459911346
12660,2806,0.07919699419289827
12660,2996,0.09225704707205296
12660,3424,0.1083610113710165
12660,4013,0.13915705494582653
12660,4096,0.1441839849576354
12660,4175,0.14895107597112656
12660,4491,0.16077898908406496
12660,5953,0.21384807769209146
12660,6137,0.21923601161688566
12660,6202,0.22150902077555656
12660,6549,0.2327159745618701
12660,6591,0.23457803763449192
12660,6957,0.247657997533679
12660,7344,0.26101700495928526
12660,8192,0.2893599448725581
13736,256,0.013008946552872658
13736,266,0.01309998333454132
13736,512,0.015302910469472408
13736,659,0.01649500336498022
13736,1024,0.01940806396305561
13736,1737,0.02509704791009426
13736,1805,0.025518005713820457
13736,2048,0.027831061743199825
13736,2343,0.030234921723604202
13736,2806,0.09506102651357651
13736,2996,0.1000880729407072
13736,3424,0.12332305777817965
13736,4013,0.15694298781454563
13736,4096,0.16022799536585808
13736,4175,0.1635029911994934
13736,4491,0.1751099480316043
13736,5953,0.22965110838413239
13736,6137,0.23690098896622658
13736,6202,0.2392349997535348
13736,6549,0.25285594165325165
13736,6591,0.2548079937696457
13736,6957,0.2678980818018317
13736,7344,0.2810269361361861
13736,8192,0.3141070483252406
14226,256,0.013019074685871601
14226,266,0.013180077075958252
14226,512,0.015423051081597805
14226,659,0.01667509786784649
14226,1024,0.019629020243883133
14226,1737,0.025567947886884212
14226,1805,0.026169000193476677
14226,2048,0.02845295239239931
14226,2343,0.03140699118375778
14226,2806,0.09961798787117004
14226,2996,0.10448496323078871
14226,3424,0.12851099018007517
14226,4013,0.16306200996041298
14226,4096,0.16558601055294275
14226,4175,0.16955204773694277
14226,4491,0.1808480592444539
14226,5953,0.23816409520804882
14226,6137,0.24513399694114923
14226,6202,0.247727963142097
14226,6549,0.26171794161200523
14226,6591,0.2629499649628997
14226,6957,0.27635006699711084
14226,7344,0.2917730016633868
14226,8192,0.3246619598940015
14260,256,0.013030017726123333
14260,266,0.01313991378992796
14260,512,0.015513040125370026
14260,659,0.016754958778619766
14260,1024,0.019778963178396225
14260,1737,0.025537912733852863
14260,1805,0.026258989237248898
14260,2048,0.028421985916793346
14260,2343,0.029543996788561344
14260,2806,0.09817501995712519
14260,2996,0.10466494131833315
14260,3424,0.13003300409764051
14260,4013,0.16336305998265743
14260,4096,0.16609695740044117
14260,4175,0.16945204697549343
14260,4491,0.18143909983336926
14260,5953,0.2386840060353279
14260,6137,0.24584494531154633
14260,6202,0.24823902640491724
14260,6549,0.2627399517223239
14260,6591,0.264202943071723
14260,6957,0.27665100060403347
14260,7344,0.2925349399447441
14260,8192,0.32521295361220837
15501,256,0.013239099644124508
15501,266,0.013440032489597797
15501,512,0.015854020603001118
15501,659,0.017186044715344906
15501,1024,0.020459992811083794
15501,1737,0.027040019631385803
15501,1805,0.027601025067269802
15501,2048,0.027942005544900894
15501,2343,0.086418935097754
15501,2806,0.11086498852819204
15501,2996,0.12181093916296959
15501,3424,0.15072303358465433
15501,4013,0.17673301044851542
15501,4096,0.18004700541496277
15501,4175,0.183242023922503
15501,4491,0.19709300249814987
15501,5953,0.2603169996291399
15501,6137,0.26541389524936676
15501,6202,0.2687089145183563
15501,6549,0.2833909820765257
15501,6591,0.2856639912351966
15501,6957,0.3030699444934726
15501,7344,0.3180219791829586
15501,8192,0.3542460035532713
16384,256,0.01346995122730732
16384,266,0.013530021533370018
16384,512,0.016133999451994896
16384,659,0.017576036043465137
16384,1024,0.02105103339999914
16384,1737,0.028142007067799568
16384,1805,0.028622918762266636
16384,2048,0.031646923162043095
16384,2343,0.09447010233998299
16384,2806,0.11733395513147116
16384,2996,0.13118400238454342
16384,3424,0.15917595010250807
16384,4013,0.18569605890661478
16384,4096,0.19038200844079256
16384,4175,0.19239506218582392
16384,4491,0.20868994761258364
16384,5953,0.27274503372609615
16384,6137,0.28176791965961456
16384,6202,0.2843820257112384
16384,6549,0.3010070649906993
16384,6591,0.3027101047337055
16384,6957,0.31792197842150927
16384,7344,0.33498695120215416
16384,8192,0.3725029528141022
