bs,seq,nh,nkv,hd,t_measured_ms
1,3358,4,2,64,0.07371907122433186
1,3358,4,2,128,0.13332802336663008
1,3358,4,4,64,0.0766729936003685
1,3358,4,4,128,0.12133002746850252
1,3358,8,1,64,0.13123499229550362
1,3358,8,1,128,0.250502023845911
1,3358,8,2,64,0.13119506184011698
1,3358,8,2,128,0.2502509159967303
1,3358,8,4,64,0.13131496962159872
1,3358,8,4,128,0.2503519644960761
1,3358,16,1,64,0.19042205531150103
1,3358,16,1,128,0.36688498221337795
1,3358,16,2,64,0.1905130920931697
1,3358,16,2,128,0.3667649580165744
1,3358,16,4,64,0.19066303502768278
1,3358,16,4,128,0.36680407356470823
1,3358,32,1,64,0.3004560712724924
1,3358,32,1,128,0.5970869679003954
1,3358,32,2,64,0.30296004842966795
1,3358,32,2,128,0.5994500825181603
1,3358,32,4,64,0.3030799562111497
1,3358,32,4,128,0.5988690536469221
1,4096,4,1,64,0.0983760692179203
1,4096,4,1,128,0.17815397586673498
1,4096,4,2,64,0.0983159989118576
1,4096,4,2,128,0.1780940219759941
1,4096,4,4,64,0.09819504339247942
1,4096,4,4,128,0.17799402121454477
1,4096,8,1,64,0.15618198085576296
1,4096,8,1,128,0.3079470479860902
1,4096,8,2,64,0.1560710370540619
1,4096,8,2,128,0.3079070011153817
1,4096,8,4,64,0.15625194646418095
1,4096,8,4,128,0.3080279566347599
1,4096,16,1,64,0.2288389950990677
1,4096,16,1,128,0.4532129969447851
1,4096,16,2,64,0.2283290959894657
1,4096,16,2,128,0.454464927315712
1,4096,16,4,64,0.22810895461589098
1,4096,16,4,128,0.4544740077108145
1,4096,32,1,64,0.4348559305071831
1,4096,32,1,128,0.8904619608074427
1,4096,32,2,64,0.43441494926810265
1,4096,32,2,128,0.891753938049078
1,4096,32,4,64,0.4346460336819291
1,4096,32,4,128,0.8916439255699515
1,4553,4,1,64,0.11661299504339695
1,4553,4,1,128,0.1862869830802083
1,4553,4,2,64,0.1163530396297574
1,4553,4,2,128,0.18616602756083012
1,4553,4,4,64,0.11678400915116072
1,4553,4,4,128,0.18608593381941319
1,4553,8,1,64,0.16900105401873589
1,4553,8,1,128,0.33158191945403814
1,4553,8,2,64,0.1690309727564454
1,4553,8,2,128,0.33235305454581976
1,4553,8,4,64,0.16928196419030428
1,4553,8,4,128,0.33152196556329727
1,4553,16,1,64,0.3233000170439482
1,4553,16,1,128,0.6477009737864137
1,4553,16,2,64,0.3238499630242586
1,4553,16,2,128,0.6477610440924764
1,4553,16,4,64,0.32271898817270994
1,4553,16,4,128,0.6477220449596643
1,4553,32,1,64,0.5474829813465476
1,4553,32,1,128,1.1223870096728206
1,4553,32,2,64,0.5472729681059718
1,4553,32,2,128,1.1234679259359837
1,4553,32,4,64,0.5475840298458934
1,4553,32,4,128,1.1229170486330986
1,8192,4,1,64,0.29519794043153524
1,8192,4,1,128,0.5911580519750714
1,8192,4,2,64,0.2954290248453617
1,8192,4,2,128,0.589284929446876
1,8192,4,4,64,0.2939460100606084
1,8192,4,4,128,0.5891639739274979
1,8192,8,1,64,0.4375498974695802
1,8192,8,1,128,0.8755899034440517
1,8192,8,2,64,0.43914199341088533
1,8192,8,2,128,0.8764020167291164
1,8192,8,4,64,0.43767900206148624
1,8192,8,4,128,0.8749390253797174
1,8192,16,1,64,0.8388860151171684
1,8192,16,1,128,1.7308199312537909
1,8192,16,2,64,0.8464070269837976
1,8192,16,2,128,1.7433889443054795
1,8192,16,4,64,0.8493509376421571
1,8192,16,4,128,1.7384309321641922
1,8192,32,1,64,1.5499609289690852
1,8192,32,1,128,3.307691076770425
1,8192,32,2,64,1.602008007466793
1,8192,32,2,128,3.322863020002842
1,8192,32,4,64,1.6034310683608055
1,8192,32,4,128,3.3349819714203477
1,8397,4,1,64,0.29732193797826767
1,8397,4,1,128,0.5946530727669597
1,8397,4,2,64,0.297421938739717
1,8397,4,2,128,0.5948130274191499
