M,N,K,t_measured_ms
512,1024,1024,0.06620498606935143
512,1024,4096,0.04862400237470865
512,4096,1024,0.04841398913413286
512,4096,4096,0.047694018576294184
512,8192,1024,0.046483008190989494
512,8192,4096,0.06330403266474605
1024,1024,1024,0.06752501940354705
1024,1024,4096,0.0462029711343348
1024,4096,1024,0.04607305163517594
1024,4096,4096,0.060883990954607725
1024,8192,1024,0.05413399776443839
1024,8192,4096,0.08622696623206139
