seq,dim,t_measured_ms
64,256,0.031306990422308445
64,266,0.030615017749369144
64,512,0.031065894290804863
64,659,0.030335038900375366
64,1024,0.03038498107343912
64,1737,0.03059499431401491
64,1805,0.030585099011659622
64,2048,0.03016507253050804
64,2343,0.030324910767376423
64,2806,0.03076600842177868
64,2996,0.030725030228495598
64,3424,0.03106601070612669
64,4013,0.030916067771613598
64,4096,0.030965893529355526
64,4175,0.031025963835418224
64,4491,0.03267894499003887
64,5953,0.035742996260523796
64,6137,0.03574392758309841
64,6202,0.03573298454284668
64,6549,0.03576301969587803
64,6591,0.03576301969587803
64,6957,0.035773031413555145
64,7344,0.03671401645988226
64,8192,0.03128591924905777
128,256,0.02976402174681425
128,266,0.030345050618052483
128,512,0.03036495763808489
128,659,0.030584982596337795
128,1024,0.030534924007952213
128,1737,0.03094598650932312
128,1805,0.03060605376958847
128,2048,0.030586030334234238
128,2343,0.029454007744789124
128,2806,0.03122701309621334
128,2996,0.03125704824924469
128,3424,0.031386036425828934
128,4013,0.031486968509852886
128,4096,0.031387084163725376
128,4175,0.031697098165750504
128,4491,0.03449094947427511
128,5953,0.03677501808851957
128,6137,0.036793993785977364
128,6202,0.03678502980619669
128,6549,0.03678398206830025
128,6591,0.03677408676594496
128,6957,0.03880704753100872
128,7344,0.03783602733165026
128,8192,0.03371993079781532
256,256,0.03064598422497511
256,266,0.030895927920937538
256,512,0.030464958399534225
256,659,0.030496041290462017
256,1024,0.030866009183228016
256,1737,0.031206058338284492
256,1805,0.031217001378536224
256,2048,0.03008497878909111
256,2343,0.03171700518578291
256,2806,0.03206799738109112
256,2996,0.03189698327332735
256,3424,0.03248790744692087
256,4013,0.03472203388810158
256,4096,0.03266904968768358
256,4175,0.034732045605778694
256,4491,0.03576301969587803
256,5953,0.04081008955836296
256,6137,0.040860031731426716
256,6202,0.040850951336324215
256,6549,0.04086107946932316
256,6591,0.04087097477167845
256,6957,0.04288298077881336
256,7344,0.042942934669554234
256,8192,0.03882800228893757
512,256,0.030825030989944935
512,266,0.030705006793141365
512,512,0.03088603261858225
512,659,0.030845054425299168
512,1024,0.0312259653583169
512,1737,0.032387906685471535
512,1805,0.030545983463525772
512,2048,0.03273889888077974
512,2343,0.03474205732345581
512,2806,0.03367895260453224
512,2996,0.035683042369782925
512,3424,0.03575300797820091
512,4013,0.038826954551041126
512,4096,0.03881705924868584
512,4175,0.04086096305400133
512,4491,0.04393595736473799
512,5953,0.04800199531018734
512,6137,0.05011400207877159
512,6202,0.05013495683670044
512,6549,0.05212693940848112
512,6591,0.05213799886405468
512,6957,0.0531589612364769
512,7344,0.05199701990932226
512,8192,0.04909303970634937
1024,256,0.03103597555309534
1024,266,0.029813963919878006
1024,512,0.03144703805446625
1024,659,0.03157695755362511
1024,1024,0.03276893403381109
1024,1737,0.03779598046094179
1024,1805,0.03782601561397314
1024,2048,0.03883789759129286
1024,2343,0.03991008270531893
1024,2806,0.04403502680361271
1024,2996,0.045937951654195786
1024,3424,0.04898302722722292
1024,4013,0.05216803401708603
1024,4096,0.05212693940848112
1024,4175,0.05421997047960758
1024,4491,0.05522195715457201
1024,5953,0.06648909766227007
1024,6137,0.06650900468230247
1024,6202,0.06545707583427429
1024,6549,0.06945303175598383
1024,6591,0.0695730559527874
1024,6957,0.07335899863392115
1024,7344,0.07661397103220224
1024,8192,0.07468101102858782
1679,256,0.03144692163914442
1679,266,0.031667063012719154
1679,512,0.032347976230084896
1679,659,0.032849027775228024
1679,1024,0.03583298530429602
1679,1737,0.042914063669741154
1679,1805,0.04289404023438692
1679,2048,0.045949011109769344
1679,2343,0.04804099444299936
1679,2806,0.053168972954154015
1679,2996,0.05519192200154066
1679,3424,0.05929800681769848
1679,4013,0.06749003659933805
1679,4096,0.0644349493086338
1679,4175,0.07057399488985538
1679,4491,0.07158704102039337
1679,5953,0.0889019574970007
1679,6137,0.08892198093235493
1679,6202,0.08882209658622742
1679,6549,0.0956919975578785
1679,6591,0.09596196468919516
1679,6957,0.12078904546797276
1679,7344,0.152497086673975
1679,8192,0.1500330399721861
2048,256,0.03159709740430117
2048,266,0.031886971555650234
2048,512,0.032998970709741116
2048,659,0.03455206751823425
2048,1024,0.03766606096178293
2048,1737,0.046979053877294064
2048,1805,0.04706007894128561
2048,2048,0.04965404514223337
2048,2343,0.05203799810260534
2048,2806,0.05927705205976963
2048,2996,0.062373001128435135
2048,3424,0.06856105756014585
2048,4013,0.07670396007597446
2048,4096,0.0767239835113287
2048,4175,0.0776549568399787
2048,4491,0.08172099478542805
2048,5953,0.13904704246670008
2048,6137,0.149692059494555
2048,6202,0.1442639622837305
2048,6549,0.15657301992177963
2048,6591,0.15632202848792076
2048,6957,0.15973695553839207
2048,7344,0.1700929133221507
2048,8192,0.19099400378763676
2100,256,0.031637027859687805
2100,266,0.03180699422955513
2100,512,0.033059041015803814
2100,659,0.034720986150205135
2100,1024,0.03881694283336401
2100,1737,0.04803098272532225
2100,1805,0.04702899605035782
2100,2048,0.049152993597090244
2100,2343,0.052187941037118435
2100,2806,0.05937798414379358
2100,2996,0.06325403228402138
2100,3424,0.0685020349919796
2100,4013,0.07673399522900581
2100,4096,0.07694389205425978
2100,4175,0.07775600533932447
2100,4491,0.08188211359083652
2100,5953,0.1496929908171296
2100,6137,0.1443149521946907
2100,6202,0.15229603741317987
2100,6549,0.15212595462799072
2100,6591,0.15180499758571386
2100,6957,0.16250205226242542
2100,7344,0.1750689698383212
2100,8192,0.20778796169906855
2277,256,0.03180699422955513
2277,266,0.03206799738109112
2277,512,0.03153702709823847
2277,659,0.034671975299715996
2277,1024,0.03882800228893757
2277,1737,0.04805100616067648
2277,1805,0.05007407162338495
2277,2048,0.05113601218909025
2277,2343,0.05619390867650509
2277,2806,0.06337394006550312
2277,2996,0.06442598532885313
2277,3424,0.07049401756376028
2277,4013,0.08105102460831404
2277,4096,0.08182111196219921
2277,4175,0.07980898953974247
2277,4491,0.08500705007463694
2277,5953,0.1559120137244463
2277,6137,0.1515350304543972
2277,6202,0.15726301353424788
2277,6549,0.16713805962353945
2277,6591,0.16996299382299185
2277,6957,0.17876503989100456
2277,7344,0.1911739818751812
2277,8192,0.26298000011593103
4096,256,0.032989075407385826
4096,266,0.03309908788651228
4096,512,0.03875698894262314
4096,659,0.03971904516220093
4096,1024,0.05008408334106207
4096,1737,0.06856198888272047
4096,1805,0.06952299736440182
4096,2048,0.07467996329069138
4096,2343,0.0808399636298418
4096,2806,0.1044049859046936
4096,2996,0.14121003914624453
4096,3424,0.15317799989134073
